id;lang;term_text;category;genus;needs_vowel_article;unit_id;ref;tags;has_audio
1;fr;s'inscrire à {qc.};verb;;;;;;true
2;fr;cours de français;noun;m;;;;;true
3;de;Französischkurs;noun;m;;;;;true
4;de;{sich zu etw.} anmelden;verb;;;;;;true
5;fr;magie;noun;f;;;;;true
6;fr;lieu;noun;m;;;;;true
7;fr;manifestation;noun;f;;;;;true
8;de;Hauptstraße;noun;f;;;;;true
9;de;Demonstration;noun;f;;;;;true
10;fr;rue principale;noun;f;;;;;true
11;fr;désinfecter {qc.};verb;;;;;;true
12;fr;plaie;noun;f;;;;;true
13;de;Wunde;noun;f;;;;;true
14;de;{etw.} desinfizieren;verb;;;;;;true
15;de;Kühlschrank;noun;m;;;;;true
16;de;voll {von etw.};expression;;;;;;true
17;de;Gemüse;noun;n;;;;;true
18;fr;frigidaire;noun;m;;;;;true
19;fr;plein {de qc.};expression;;;;;;true
20;fr;légume;noun;m;;;;;true
21;fr;oublier {qc.};verb;;;;;;true
22;de;{etw.} vergessen;verb;;;;;;true
23;de;Magie;noun;f;;;;;true
24;de;Ort;noun;m;;;;;true
25;fr;camping;noun;m;;;;;true
26;fr;au bord {de qc.};expression;;;;;;true
27;fr;lac;noun;m;;;;;true
28;de;Camping;noun;n;;;;;true
29;de;am Rande {von etw.};expression;;;;;;true
30;de;See;noun;m;;;;;true
31;de;{etw.} spüren;verb;;;;;;true
32;fr;ressentir {qc.};verb;;;;;;true
33;de;{etw.} mitbringen;verb;;;;;;true
34;fr;rapporter {qc.};verb;;;;;;true
35;de;Souvenir;noun;n;;;;;true
36;fr;souvenir;noun;m;;;;;true
37;de;ungewöhnlich;adjective;;;;;;true
38;fr;insolite;adjective;;;;;;true
39;fr;objet;noun;m;true;;;;true
40;de;Gegenstand;noun;m;;;;;true
41;de;Markt;noun;m;;;;;true
42;de;Gang;noun;m;;;;;true
43;de;{etw.} durchschlendern;verb;;;;;;true
44;fr;arpenter {qc.};verb;;;;;;true
45;fr;allée;noun;f;true;;;;true
46;fr;marché;noun;m;;;;;true
47;fr;payer {qc.};verb;;;;;;true
48;fr;petit;adjective;;;;;;true
49;fr;coupure;noun;f;;;;;true
50;de;{etw.} bezahlen;verb;;;;;;true
51;de;klein;adjective;;;;;;true
52;de;Geldschein;noun;m;;;;;true
53;fr;sac de couchage;noun;m;;;;;true
54;de;Schlafsack;noun;m;;;;;true
55;fr;région viticole;noun;f;;;;;true
56;de;Weinbauregion;noun;f;;;;;true
57;fr;aimer faire {qc.};verb;;;;;;true
58;fr;faire des randonnées;verb;;;;;;true
59;de;wandern gehen;verb;;;;;;true
60;de;wandern;verb;;;;;;true
61;fr;randonner;verb;;;;;;true
62;fr;parc naturel;noun;m;;;;;true
63;de;Naturpark;noun;m;;;;;true
64;fr;randonnée;noun;f;;;;;true
65;fr;dénivelé;noun;m;;;;;true
66;de;Höhenunterschied;noun;m;;;;;true
67;de;Wanderung;noun;f;;;;;true
68;fr;paysage;noun;m;;;;;true
69;fr;portefeuille;noun;m;;;;;true
70;de;Brieftasche;noun;f;;;;;true
71;fr;embrumé;adjective;;;;;;true
72;de;Landschaft;noun;f;;;;;true
73;de;neblig;adjective;;;;;;true
74;fr;effacement;noun;m;true;;;;true
75;de;Entfernen;noun;n;;;;;true
76;fr;graffiti;noun;m;;;;;true
77;de;Graffiti;noun;n;;;;;true
78;fr;{s'}insurger {contre qc.};verb;;;;;;true
79;de;{sich über etw.} empören;verb;;;;;;true
80;fr;chapelle;noun;f;;;;;true
81;de;Kapelle;noun;f;;;;;true
82;fr;habiter;verb;;;;;;true
83;fr;en Bavière;expression;;;;;;true
84;de;wohnen;verb;;;;;;true
85;de;in Bayern;expression;;;;;;true
86;fr;ville;noun;f;;;;;true
87;fr;célèbre;adjective;;;;;;true
88;fr;station thermale;noun;f;;;;;true
89;de;berühmt;adjective;;;;;;true
90;de;Stadt;noun;f;;;;;true
91;de;Kurort;noun;m;;;;;true
92;fr;grand-mère;noun;f;;;;;true
93;fr;aller en cure;verb;;;;;;true
94;de;Oma;noun;f;;;;;true
95;de;zur Kur fahren;verb;;;;;;true
96;fr;crevant;adjective;;;;;;true
97;de;anstrengend;adjective;;;;;;true
98;fr;travail;noun;m;;;;;true
99;fr;fatigant;adjective;;;;;;true
100;de;ermüdend;adjective;;;;;;true
101;de;Arbeit;noun;f;;;;;true
102;fr;examen;noun;m;true;;;;true
103;fr;dur;adjective;;;;;;true
104;de;Prüfung;noun;f;;;;;true
105;de;schwer;adjective;;;;;;true
106;fr;jouer {un} rôle;expression;;;;;;true
107;de;{eine} Rolle spielen;expression;;;;;;true
108;fr;dégoûtant;adjective;;;;;;true
109;fr;repas;noun;m;;;;;true
110;de;Essen;noun;n;;;;;true
111;de;ekelhaft;adjective;;;;;;true
112;fr;sourire;verb;;;;;;true
113;fr;faire {qc.} malgré soi;verb;;;;;;true
114;de;{etw.} unwillkürlich tun;verb;;;;;;true
115;fr;céder {à qc.};verb;;;;;;true
116;de;{etw.} erliegen;verb;;;;;;true
117;fr;tentation;noun;f;;;;;true
118;de;Versuchung;noun;f;;;;;true
119;fr;tableau;noun;m;;;;;true
120;de;Bild;noun;n;;;;;true
121;de;Hügel;noun;m;;;;;true
122;fr;colline;noun;f;;;;;true
123;fr;sacoche;noun;f;;;;;true
124;de;Umhängetasche;noun;f;;;;;true
125;de;Leder;noun;n;;;;;true
126;fr;cuir;noun;m;;;;;true
127;fr;frigo;noun;m;;;;;true
128;fr;rayonnant;adjective;;;;;;true
129;fr;bonheur;noun;m;;;;;true
130;fr;pousser {qc.};verb;;;;;;true
131;de;{etw.} schieben;verb;;;;;;true
132;fr;négocier {qc.};verb;;;;;;true
133;fr;peu à peu;expression;;;;;;true
134;de;nach und nach;expression;;;;;;true
135;fr;passion;noun;f;;;;;true
136;de;Leidenschaft;noun;f;;;;;true
137;de;lächeln;verb;;;;;;true
138;de;strahlen;verb;;;;;;true
139;de;Glück;noun;n;;;;;true
140;fr;hibou;noun;m;;;;;true
141;fr;oeil;noun;m;true;;;;true
142;de;Uhu;noun;m;;;;;true
